,Car Name,Brand,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
186,Ford Ecosport,Ford,2014,"1,17,219 km",Diesel,Manual,"EMI ₹16,099/m*",₹3.42 lakh
187,Hyundai Elite i20,Hyundai,2018,"45,795 km",Petrol,Auto,"EMI ₹8,438/m*",₹4.78 lakh
188,Hyundai Grand i10,Hyundai,2016,"62,887 km",Petrol,Auto,"EMI ₹8,186/m*",₹3.68 lakh
189,Hyundai NEW SANTRO,Hyundai,2019,"71,718 km",Petrol,Auto,"EMI ₹7,043/m*",₹3.99 lakh
190,Honda Jazz,Honda,2016,"42,478 km",Petrol,Auto,"EMI ₹9,788/m*",₹4.40 lakh
191,Honda Amaze,Honda,2019,"70,075 km",Diesel,Manual,"EMI ₹9,938/m*",₹5.63 lakh
192,Hyundai Creta,Hyundai,2019,"35,320 km",Petrol,Manual,"EMI ₹15,860/m*",₹9.26 lakh
193,Mahindra TUV 300 PLUS,Mahindra,2018,"31,709 km",Diesel,Manual,"EMI ₹10,445/m*",₹5.34 lakh
194,Maruti Swift,Maruti,2018,"75,660 km",Petrol,Manual,"EMI ₹7,953/m*",₹4.51 lakh
195,Hyundai Elite i20,Hyundai,2016,"1,15,037 km",Petrol,Manual,"EMI ₹9,305/m*",₹4.18 lakh
196,Tata ALTROZ,Tata,2023,"19,122 km",Petrol,Auto,"EMI ₹11,704/m*",₹6.63 lakh
197,Maruti Swift,Maruti,2020,"37,234 km",Petrol,Auto,"EMI ₹9,557/m*",₹5.41 lakh
198,Hyundai GRAND I10 NIOS,Hyundai,2021,"30,009 km",Diesel,Manual,"EMI ₹10,767/m*",₹6.10 lakh
199,Ford Ecosport,Ford,2020,"48,073 km",Petrol,Auto,"EMI ₹12,019/m*",₹6.81 lakh
200,Maruti S PRESSO,Maruti,2021,"42,936 km",Petrol,Manual,"EMI ₹6,478/m*",₹3.67 lakh
201,Ford Ecosport,Ford,2017,"38,082 km",Petrol,Manual,"EMI ₹8,743/m*",₹4.47 lakh
202,Tata TIGOR,Tata,2022,"12,133 km",CNG,Manual,"EMI ₹11,150/m*",₹6.32 lakh
203,Maruti Swift,Maruti,2015,"87,471 km",Petrol,Manual,"EMI ₹8,869/m*",₹3.37 lakh
204,Maruti Dzire,Maruti,2018,"54,399 km",Petrol,Auto,"EMI ₹10,160/m*",₹5.76 lakh
205,Maruti Celerio,Maruti,2017,"49,319 km",Petrol,Auto,"EMI ₹7,686/m*",₹3.93 lakh
206,Honda Amaze,Honda,2016,"86,111 km",Petrol,Auto,"EMI ₹9,034/m*",₹4.06 lakh
207,Maruti Alto K10,Maruti,2023,"27,232 km",Petrol,Manual,"EMI ₹6,982/m*",₹3.96 lakh
208,Maruti Swift,Maruti,2019,"18,641 km",Petrol,Manual,"EMI ₹9,108/m*",₹5.16 lakh
209,Hyundai Eon,Hyundai,2017,"48,868 km",Petrol,Manual,"EMI ₹5,374/m*",₹2.75 lakh
210,Hyundai Verna,Hyundai,2015,"55,561 km",Petrol,Manual,"EMI ₹8,681/m*",₹3.30 lakh
211,Hyundai i20,Hyundai,2011,"1,22,559 km",Petrol,Manual,"EMI ₹8,681/m*",₹2.34 lakh
212,Fiat Grand Punto,Fiat,2013,"81,332 km",Diesel,Manual,"EMI ₹10,840/m*",₹1.22 lakh
213,Hyundai Grand i10,Hyundai,2016,"82,000 km",Petrol,Auto,"EMI ₹8,898/m*",₹4.00 lakh
214,Fiat Punto EVO,Fiat,2016,"85,274 km",Diesel,Manual,"EMI ₹7,400/m*",₹2.81 lakh
215,Hyundai Xcent,Hyundai,2017,"44,961 km",Petrol,Manual,"EMI ₹5,787/m*",₹2.96 lakh
216,Maruti Alto 800,Maruti,2012,"60,575 km",Petrol,Manual,"EMI ₹17,859/m*",₹2.01 lakh
217,BMW 5 Series,BMW,2011,"91,410 km",Diesel,Auto,"EMI ₹17,859/m*",₹6.29 lakh
218,Hyundai New Elantra,Hyundai,2018,"73,410 km",Petrol,Auto,"EMI ₹13,999/m*",₹7.93 lakh
219,Renault Kwid,Renault,2018,"23,368 km",Petrol,Manual,"EMI ₹4,501/m*",₹2.55 lakh
220,Hyundai Eon,Hyundai,2015,"43,351 km",Petrol,Manual,"EMI ₹6,820/m*",₹2.59 lakh
221,Maruti Alto 800,Maruti,2013,"90,000 km",Petrol,Manual,"EMI ₹10,168/m*",₹2.16 lakh
222,Volkswagen TAIGUN,Volkswagen,2022,"38,108 km",Petrol,Manual,"EMI ₹15,924/m*",₹9.30 lakh
223,Tata Tiago,Tata,2020,"93,880 km",Petrol,Manual,"EMI ₹5,472/m*",₹3.10 lakh
224,Tata Nano,Tata,2013,"43,557 km",Petrol,Manual,"EMI ₹2,777/m*",₹0.59 lakh
225,Ssangyong Rexton,Ssangyong,2013,"96,255 km",Diesel,Auto,"EMI ₹24,789/m*",₹2.79 lakh
226,Tata PUNCH,Tata,2022,"30,535 km",Petrol,Auto,"EMI ₹12,533/m*",₹7.10 lakh
227,Hyundai i10,Hyundai,2012,"32,640 km",Petrol,Manual,"EMI ₹20,702/m*",₹2.33 lakh
228,Maruti Celerio,Maruti,2014,"91,920 km",Petrol,Auto,"EMI ₹10,894/m*",₹3.28 lakh
