,Car Name,Brand,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
377,Toyota Innova Crysta,Toyota,2022,"70,036 km",Diesel,Manual,"EMI ₹28,286/m*",₹16.52 lakh
378,Mahindra XUV300,Mahindra,2023,"40,219 km",Diesel,Manual,"EMI ₹15,410/m*",₹9.00 lakh
379,Toyota Innova Crysta,Toyota,2017,"1,22,976 km",Diesel,Manual,"EMI ₹20,460/m*",₹9.41 lakh
380,Toyota Innova,Toyota,2015,"1,57,784 km",Diesel,Manual,"EMI ₹18,567/m*",₹5.59 lakh
381,Toyota Innova,Toyota,2015,"56,554 km",Diesel,Manual,"EMI ₹17,183/m*",₹5.17 lakh
382,Hyundai XCENT PRIME,Hyundai,2021,"60,726 km",Petrol,Manual,"EMI ₹7,061/m*",₹4.00 lakh
383,Maruti Vitara Brezza,Maruti,2021,"60,717 km",Petrol,Manual,"EMI ₹10,009/m*",₹5.67 lakh
384,KIA SONET,KIA,2024,"10,765 km",Petrol,Auto,"EMI ₹20,016/m*",₹11.69 lakh
385,BMW X5,BMW,2016,"67,324 km",Diesel,Auto,"EMI ₹55,697/m*",₹21.55 lakh
386,Mahindra Scorpio,Mahindra,2020,"97,808 km",Diesel,Manual,"EMI ₹16,266/m*",₹9.50 lakh
387,Tata Harrier,Tata,2019,"70,624 km",Diesel,Manual,"EMI ₹14,982/m*",₹8.75 lakh
388,Hyundai Creta,Hyundai,2022,"1,00,001 km",Petrol,Manual,"EMI ₹19,568/m*",₹9.00 lakh
389,Maruti S Cross,Maruti,2018,"86,810 km",Diesel,Manual,"EMI ₹10,811/m*",₹5.53 lakh
390,Mahindra XUV300,Mahindra,2020,"48,728 km",Petrol,Manual,"EMI ₹13,928/m*",₹7.89 lakh
391,Jeep MERIDIAN,Jeep,2022,"64,489 km",Diesel,Auto,"EMI ₹35,207/m*",₹20.56 lakh
392,KIA SONET,KIA,2022,"35,709 km",Diesel,Manual,"EMI ₹15,393/m*",₹8.99 lakh
