,Car Name,Brand,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
155,Hyundai i10,Hyundai,2013,"89,603 km",CNG,Auto,"EMI ₹4,766/m*",₹1.88 lakh
156,Maruti S Cross,Maruti,2021,"31,115 km",Petrol,Manual,"EMI ₹11,560/m*",₹6.55 lakh
157,Maruti Baleno,Maruti,2016,"88,321 km",CNG,Manual,"EMI ₹13,651/m*",₹4.11 lakh
158,Maruti Wagon R 1.0,Maruti,2013,"93,879 km",Petrol,Manual,"EMI ₹8,318/m*",₹1.77 lakh
159,Skoda Rapid,Skoda,2017,"75,781 km",Petrol,Manual,"EMI ₹7,226/m*",₹3.70 lakh
160,Honda Amaze,Honda,2013,"39,447 km",Petrol,Manual,"EMI ₹11,486/m*",₹2.44 lakh
161,Hyundai Creta,Hyundai,2025,"3,210 km",Diesel,Auto,"EMI ₹34,245/m*",₹20.00 lakh
162,Volkswagen Polo,Volkswagen,2015,"34,158 km",Petrol,Manual,"EMI ₹9,191/m*",₹3.49 lakh
163,Volkswagen Polo,Volkswagen,2017,"61,917 km",Petrol,Auto,"EMI ₹9,292/m*",₹4.75 lakh
164,Maruti Swift,Maruti,2016,"98,776 km",Petrol,Manual,"EMI ₹6,620/m*",₹2.98 lakh
165,Tata NEXON,Tata,2019,"29,568 km",Petrol,Auto,"EMI ₹8,597/m*",₹4.87 lakh
166,Mahindra Thar,Mahindra,2023,"20,256 km",Diesel,Manual,"EMI ₹22,174/m*",₹12.95 lakh
167,Tata ALTROZ,Tata,2020,"18,468 km",Petrol,Manual,"EMI ₹9,586/m*",₹5.43 lakh
168,Maruti Wagon R 1.0,Maruti,2017,"89,064 km",Petrol,Auto,"EMI ₹5,063/m*",₹2.59 lakh
169,Hyundai Elite i20,Hyundai,2018,"47,233 km",Petrol,Auto,"EMI ₹8,288/m*",₹4.70 lakh
170,Hyundai Grand i10,Hyundai,2018,"54,740 km",Petrol,Manual,"EMI ₹6,743/m*",₹3.82 lakh
171,Hyundai Grand i10,Hyundai,2015,"48,644 km",Petrol,Manual,"EMI ₹6,923/m*",₹2.63 lakh
172,KIA SONET,KIA,2022,"79,993 km",Petrol,Manual,"EMI ₹11,965/m*",₹6.78 lakh
173,Hyundai Elite i20,Hyundai,2015,"1,20,332 km",Petrol,Manual,"EMI ₹8,545/m*",₹3.25 lakh
174,Maruti Alto 800,Maruti,2013,"50,143 km",Petrol,Manual,"EMI ₹6,962/m*",₹1.48 lakh
175,Hyundai i20,Hyundai,2013,"68,998 km",Petrol,Manual,"EMI ₹12,070/m*",₹2.56 lakh
176,Maruti Wagon R 1.0,Maruti,2015,"64,833 km",Petrol,Manual,"EMI ₹6,902/m*",₹2.62 lakh
177,Mahindra XUV700,Mahindra,2021,"83,425 km",Petrol,Manual,"EMI ₹18,407/m*",₹10.75 lakh
178,Maruti Wagon R 1.0,Maruti,2018,"57,961 km",CNG,Manual,"EMI ₹7,519/m*",₹3.38 lakh
179,Honda City,Honda,2015,"34,955 km",Petrol,Manual,"EMI ₹9,428/m*",₹3.58 lakh
180,Hyundai GRAND I10 NIOS,Hyundai,2020,"53,521 km",Petrol,Auto,"EMI ₹8,101/m*",₹4.59 lakh
181,Renault Kwid,Renault,2017,"31,480 km",Petrol,Manual,"EMI ₹3,904/m*",₹2.00 lakh
182,Maruti Wagon R 1.0,Maruti,2012,"97,754 km",Petrol,Manual,"EMI ₹16,126/m*",₹1.81 lakh
