,Car Name,Brand,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
167,KIA SELTOS,KIA,2021,"30,275 km",Petrol,Manual,"EMI ₹12,655/m*",₹7.17 lakh
168,KIA SELTOS,KIA,2022,"32,615 km",Petrol,Manual,"EMI ₹15,697/m*",₹9.17 lakh
169,Tata NEXON,Tata,2018,"55,388 km",Petrol,Auto,"EMI ₹8,478/m*",₹4.80 lakh
170,KIA CARENS,KIA,2024,"10,901 km",Diesel,Manual,"EMI ₹20,102/m*",₹11.74 lakh
171,Hyundai i10,Hyundai,2012,"70,127 km",Petrol,Manual,"EMI ₹12,972/m*",₹1.46 lakh
172,Mahindra XUV500,Mahindra,2015,"1,37,469 km",Diesel,Manual,"EMI ₹16,043/m*",₹4.83 lakh
173,Hyundai Xcent,Hyundai,2017,"45,706 km",Diesel,Manual,"EMI ₹6,251/m*",₹2.81 lakh
174,Hyundai Grand i10,Hyundai,2015,"29,080 km",Petrol,Manual,"EMI ₹7,373/m*",₹2.80 lakh
175,Maruti Celerio,Maruti,2016,"1,19,491 km",Petrol,Manual,"EMI ₹5,583/m*",₹2.51 lakh
176,Audi A4,Audi,2014,"33,974 km",Diesel,Auto,"EMI ₹19,818/m*",₹4.21 lakh
177,Honda Jazz,Honda,2016,"57,556 km",Diesel,Manual,"EMI ₹6,057/m*",₹2.30 lakh
178,Maruti Ciaz,Maruti,2016,"40,822 km",Petrol,Manual,"EMI ₹5,005/m*",₹2.25 lakh
179,Honda City,Honda,2019,"41,362 km",Petrol,Manual,"EMI ₹9,921/m*",₹5.62 lakh
180,Mahindra XUV500,Mahindra,2016,"88,867 km",Diesel,Manual,"EMI ₹9,823/m*",₹3.73 lakh
181,Hyundai Elite i20,Hyundai,2016,"60,207 km",Petrol,Manual,"EMI ₹7,652/m*",₹3.44 lakh
182,Hyundai i10,Hyundai,2015,"1,88,636 km",Petrol,Manual,"EMI ₹5,154/m*",₹1.96 lakh
183,Hyundai GRAND I10 NIOS,Hyundai,2022,"10,970 km",Petrol,Manual,"EMI ₹8,209/m*",₹4.65 lakh
184,Hyundai VENUE,Hyundai,2022,"28,405 km",Petrol,Manual,"EMI ₹8,597/m*",₹4.87 lakh
185,Hyundai Grand i10,Hyundai,2017,"12,717 km",Petrol,Manual,"EMI ₹6,295/m*",₹3.22 lakh
186,Hyundai VENUE,Hyundai,2019,"50,773 km",Petrol,Manual,"EMI ₹9,179/m*",₹5.20 lakh
187,Hyundai VENUE,Hyundai,2019,"65,006 km",Petrol,Manual,"EMI ₹9,709/m*",₹5.50 lakh
188,Maruti Swift,Maruti,2013,"93,290 km",Petrol,Manual,"EMI ₹10,356/m*",₹2.20 lakh
189,Toyota Innova,Toyota,2011,"1,39,084 km",Diesel,Manual,"EMI ₹10,356/m*",₹2.38 lakh
190,Honda Amaze,Honda,2019,"37,269 km",Petrol,Manual,"EMI ₹5,631/m*",₹3.19 lakh
191,Hyundai Creta,Hyundai,2019,"36,686 km",Petrol,Auto,"EMI ₹15,239/m*",₹8.90 lakh
192,Tata ALTROZ,Tata,2023,"18,345 km",Petrol,Manual,"EMI ₹11,598/m*",₹6.57 lakh
193,Volkswagen TAIGUN,Volkswagen,2022,"79,375 km",Petrol,Manual,"EMI ₹12,357/m*",₹7.00 lakh
194,Honda Civic,Honda,2019,"25,311 km",Petrol,Auto,"EMI ₹22,019/m*",₹12.86 lakh
195,Tata Tiago,Tata,2022,"27,162 km",Petrol,Manual,"EMI ₹6,320/m*",₹3.58 lakh
196,Maruti Ciaz,Maruti,2016,"77,591 km",Petrol,Manual,"EMI ₹6,117/m*",₹2.75 lakh
197,Honda City,Honda,2021,"27,186 km",Petrol,Manual,"EMI ₹11,009/m*",₹6.24 lakh
198,Hyundai EXTER,Hyundai,2023,"19,033 km",Petrol,Manual,"EMI ₹12,816/m*",₹7.26 lakh
199,Mahindra Thar,Mahindra,2021,"17,286 km",Petrol,Manual,"EMI ₹15,701/m*",₹9.17 lakh
200,Honda Jazz,Honda,2016,"58,658 km",Petrol,Manual,"EMI ₹4,738/m*",₹2.13 lakh
201,Maruti New Wagon-R,Maruti,2022,"73,322 km",Petrol,Manual,"EMI ₹5,472/m*",₹3.10 lakh
202,Maruti Baleno,Maruti,2021,"55,722 km",Petrol,Manual,"EMI ₹6,178/m*",₹3.50 lakh
203,Mahindra Kuv100,Mahindra,2016,"75,397 km",Petrol,Manual,"EMI ₹3,559/m*",₹1.60 lakh
204,Honda Brio,Honda,2013,"48,219 km",Petrol,Manual,"EMI ₹5,978/m*",₹1.27 lakh
205,Jeep Compass,Jeep,2017,"66,626 km",Diesel,Manual,"EMI ₹11,122/m*",₹5.00 lakh
206,Hyundai Elite i20,Hyundai,2016,"1,30,686 km",Diesel,Manual,"EMI ₹7,953/m*",₹3.02 lakh
207,Hyundai Eon,Hyundai,2015,"30,337 km",Petrol,Manual,"EMI ₹4,292/m*",₹1.63 lakh
208,Mahindra XUV500,Mahindra,2016,"86,574 km",Diesel,Manual,"EMI ₹10,955/m*",₹4.16 lakh
209,Renault TRIBER,Renault,2019,"25,199 km",Petrol,Manual,"EMI ₹6,355/m*",₹3.60 lakh
210,Maruti Ritz,Maruti,2014,"26,352 km",Petrol,Manual,"EMI ₹6,444/m*",₹1.94 lakh
211,Ford Ecosport,Ford,2021,"3,700 km",Petrol,Manual,"EMI ₹11,598/m*",₹6.57 lakh
212,Maruti Alto 800,Maruti,2014,"1,31,645 km",Petrol,Manual,"EMI ₹5,879/m*",₹1.77 lakh
213,Honda Brio,Honda,2013,"53,959 km",Petrol,Auto,"EMI ₹7,908/m*",₹1.68 lakh
214,Hyundai Verna,Hyundai,2015,"31,235 km",Petrol,Manual,"EMI ₹7,321/m*",₹2.78 lakh
215,Maruti Dzire,Maruti,2021,"46,285 km",Petrol,Manual,"EMI ₹7,114/m*",₹4.03 lakh
216,Honda Amaze,Honda,2015,"68,574 km",Petrol,Manual,"EMI ₹5,267/m*",₹2.00 lakh
217,Maruti Wagon R 1.0,Maruti,2013,"41,834 km",Petrol,Manual,"EMI ₹10,215/m*",₹2.17 lakh
218,Honda City,Honda,2019,"39,447 km",Petrol,Manual,"EMI ₹8,191/m*",₹4.64 lakh
219,MG HECTOR PLUS,MG,2021,"20,059 km",Petrol,Auto,"EMI ₹23,971/m*",₹14.00 lakh
220,Volkswagen Polo,Volkswagen,2017,"42,592 km",Petrol,Manual,"EMI ₹7,351/m*",₹3.76 lakh
221,Tata Tiago,Tata,2020,"48,984 km",Petrol,Manual,"EMI ₹5,642/m*",₹3.20 lakh
222,Maruti Wagon R 1.0,Maruti,2012,"29,427 km",Petrol,Manual,"EMI ₹16,170/m*",₹1.82 lakh
223,Hyundai New Elantra,Hyundai,2020,"54,537 km",Petrol,Manual,"EMI ₹12,004/m*",₹6.80 lakh
224,Tata Tiago,Tata,2017,"39,290 km",Petrol,Manual,"EMI ₹5,181/m*",₹2.65 lakh
225,Honda Amaze,Honda,2014,"86,338 km",Petrol,Manual,"EMI ₹6,676/m*",₹2.01 lakh
226,Maruti Wagon R 1.0,Maruti,2012,"64,975 km",Petrol,Manual,"EMI ₹15,993/m*",₹1.80 lakh
227,Hyundai Grand i10,Hyundai,2015,"38,714 km",Petrol,Manual,"EMI ₹6,136/m*",₹2.33 lakh
228,Renault Kwid,Renault,2019,"49,524 km",Petrol,Manual,"EMI ₹3,707/m*",₹2.10 lakh
229,Ford Ecosport,Ford,2014,"50,000 km",Diesel,Manual,"EMI ₹5,649/m*",₹1.20 lakh
230,Chevrolet Beat,Chevrolet,2013,"69,876 km",Diesel,Manual,"EMI ₹5,864/m*",₹0.66 lakh
231,Volkswagen Polo,Volkswagen,2013,"28,803 km",Petrol,Manual,"EMI ₹10,921/m*",₹2.32 lakh
232,Hyundai Eon,Hyundai,2014,"60,820 km",Petrol,Manual,"EMI ₹4,650/m*",₹1.40 lakh
233,Maruti Wagon R 1.0,Maruti,2013,"32,695 km",Petrol,Manual,"EMI ₹8,850/m*",₹1.88 lakh
234,Maruti Alto K10,Maruti,2012,"53,283 km",Petrol,Manual,"EMI ₹12,172/m*",₹1.37 lakh
235,Maruti Alto 800,Maruti,2013,"13,282 km",Petrol,Manual,"EMI ₹7,532/m*",₹1.60 lakh
236,Hyundai Elite i20,Hyundai,2015,"63,167 km",Petrol,Manual,"EMI ₹8,084/m*",₹3.07 lakh
237,Maruti Celerio,Maruti,2017,"14,809 km",Petrol,Manual,"EMI ₹4,594/m*",₹2.35 lakh
238,Hyundai AURA,Hyundai,2021,"41,889 km",Petrol,Manual,"EMI ₹8,526/m*",₹4.83 lakh
239,Volkswagen Polo,Volkswagen,2011,"1,20,090 km",Petrol,Manual,"EMI ₹8,526/m*",₹1.32 lakh
240,Maruti Celerio,Maruti,2017,"75,624 km",Petrol,Manual,"EMI ₹4,985/m*",₹2.55 lakh
241,Maruti Baleno,Maruti,2017,"46,818 km",Petrol,Manual,"EMI ₹7,273/m*",₹3.72 lakh
242,Maruti Celerio,Maruti,2015,"1,21,198 km",Petrol,Manual,"EMI ₹4,740/m*",₹1.80 lakh
243,Maruti Alto 800,Maruti,2013,"37,167 km",Petrol,Manual,"EMI ₹6,311/m*",₹1.34 lakh
