,Car Name,Brand,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
117,Honda Amaze,Honda,2020,"1,15,246 km",Diesel,Manual,"EMI ₹11,323/m*",₹5.09 lakh
118,Maruti Wagon R 1.0,Maruti,2015,"78,805 km",Petrol,Manual,"EMI ₹6,188/m*",₹2.35 lakh
119,Honda Amaze,Honda,2023,"49,814 km",Petrol,Manual,"EMI ₹11,015/m*",₹6.24 lakh
120,Mahindra Thar,Mahindra,2023,"27,242 km",Petrol,Auto,"EMI ₹20,975/m*",₹12.25 lakh
121,Ford FREESTYLE,Ford,2020,"1,14,560 km",Petrol,Manual,"EMI ₹8,475/m*",₹3.81 lakh
122,Ford Ecosport,Ford,2018,"1,09,010 km",Diesel,Manual,"EMI ₹10,544/m*",₹4.74 lakh
123,Maruti Ertiga,Maruti,2022,"16,466 km",Petrol,Auto,"EMI ₹16,425/m*",₹9.59 lakh
124,Ford Ecosport,Ford,2016,"1,14,002 km",Diesel,Manual,"EMI ₹9,928/m*",₹3.77 lakh
125,Maruti Wagon R 1.0,Maruti,2013,"58,604 km",Petrol,Manual,"EMI ₹8,567/m*",₹1.82 lakh
126,Maruti Alto,Maruti,2020,"26,206 km",Petrol,Manual,"EMI ₹4,351/m*",₹2.46 lakh
127,Ford New Figo,Ford,2019,"1,01,867 km",Petrol,Manual,"EMI ₹7,118/m*",₹3.20 lakh
128,Toyota Glanza,Toyota,2023,"21,286 km",Petrol,Manual,"EMI ₹13,192/m*",₹7.47 lakh
129,KIA SELTOS,KIA,2020,"92,058 km",Petrol,Manual,"EMI ₹13,063/m*",₹7.40 lakh
130,Ford FREESTYLE,Ford,2018,"1,11,118 km",Diesel,Manual,"EMI ₹8,920/m*",₹4.01 lakh
131,Maruti Alto 800,Maruti,2018,"43,035 km",Petrol,Manual,"EMI ₹3,795/m*",₹2.15 lakh
132,Maruti S PRESSO,Maruti,2019,"14,562 km",Petrol,Auto,"EMI ₹5,614/m*",₹3.18 lakh
133,Maruti S PRESSO,Maruti,2021,"1,17,149 km",Petrol,Auto,"EMI ₹5,917/m*",₹2.66 lakh
134,Hyundai VENUE,Hyundai,2019,"1,20,117 km",Petrol,Manual,"EMI ₹13,035/m*",₹5.86 lakh
135,Hyundai NEW I20,Hyundai,2023,"33,459 km",Petrol,Auto,"EMI ₹12,286/m*",₹6.96 lakh
136,Maruti Swift Dzire,Maruti,2016,"1,09,134 km",Petrol,Manual,"EMI ₹8,119/m*",₹3.65 lakh
137,Tata PUNCH,Tata,2023,"15,878 km",Petrol,Auto,"EMI ₹11,106/m*",₹6.29 lakh
138,KIA SONET,KIA,2023,"66,402 km",Petrol,Manual,"EMI ₹12,710/m*",₹7.20 lakh
139,Tata TIGOR,Tata,2022,"84,608 km",CNG,Manual,"EMI ₹9,709/m*",₹5.50 lakh
140,Datsun Go,Datsun,2017,"16,584 km",Petrol,Manual,"EMI ₹4,692/m*",₹2.40 lakh
