,Car Name,Brand,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
883,Maruti OMNI E,Maruti,2016,"64,984 km",Petrol,Manual,"EMI ₹5,450/m*",₹2.45 lakh
884,Ford Figo,Ford,2011,"83,534 km",Petrol,Manual,"EMI ₹5,450/m*",₹1.05 lakh
885,Maruti Alto K10,Maruti,2018,"9,984 km",Petrol,Auto,"EMI ₹6,355/m*",₹3.60 lakh
886,Maruti Baleno,Maruti,2016,"1,09,003 km",Petrol,Manual,"EMI ₹12,234/m*",₹5.50 lakh
887,Ford Figo,Ford,2011,"70,624 km",Diesel,Manual,"EMI ₹12,234/m*",₹1.50 lakh
888,Hyundai Verna,Hyundai,2012,"1,48,925 km",Diesel,Manual,"EMI ₹12,234/m*",₹2.00 lakh
889,Toyota Etios,Toyota,2012,"72,985 km",Diesel,Manual,"EMI ₹12,234/m*",₹2.76 lakh
890,Hyundai GRAND I10 NIOS,Hyundai,2022,"14,929 km",Petrol,Auto,"EMI ₹10,592/m*",₹6.00 lakh
891,Maruti Baleno,Maruti,2016,"47,819 km",Petrol,Manual,"EMI ₹8,164/m*",₹3.67 lakh
892,Volkswagen TAIGUN,Volkswagen,2022,"61,880 km",Petrol,Auto,"EMI ₹16,729/m*",₹9.77 lakh
893,Hyundai Creta,Hyundai,2023,"47,800 km",Petrol,Auto,"EMI ₹29,964/m*",₹17.50 lakh
894,Hyundai Grand i10,Hyundai,2014,"27,211 km",Petrol,Manual,"EMI ₹11,293/m*",₹3.40 lakh
895,Honda Amaze,Honda,2018,"55,759 km",Diesel,Auto,"EMI ₹10,498/m*",₹5.37 lakh
896,Honda Amaze,Honda,2018,"37,055 km",Petrol,Auto,"EMI ₹8,738/m*",₹4.95 lakh
897,Maruti Swift Dzire,Maruti,2012,"1,57,955 km",Diesel,Manual,"EMI ₹8,738/m*",₹2.50 lakh
898,Maruti Baleno,Maruti,2017,"1,08,306 km",Petrol,Auto,"EMI ₹13,057/m*",₹5.87 lakh
899,Renault Kwid,Renault,2016,"32,196 km",Petrol,Auto,"EMI ₹7,563/m*",₹3.40 lakh
900,Hyundai GRAND I10 NIOS,Hyundai,2022,"24,704 km",Petrol,Manual,"EMI ₹8,632/m*",₹4.89 lakh
901,KIA SELTOS,KIA,2020,"52,119 km",Petrol,Manual,"EMI ₹14,554/m*",₹8.50 lakh
902,Hyundai i20,Hyundai,2012,"1,20,117 km",Petrol,Manual,"EMI ₹19,636/m*",₹2.21 lakh
903,Ford New Figo,Ford,2017,"75,950 km",Diesel,Manual,"EMI ₹6,718/m*",₹3.02 lakh
904,Hyundai i10,Hyundai,2012,"42,123 km",Petrol,Manual,"EMI ₹27,543/m*",₹3.10 lakh
905,Maruti Swift,Maruti,2013,"91,816 km",Petrol,Manual,"EMI ₹11,674/m*",₹2.48 lakh
906,Mahindra XUV500,Mahindra,2012,"1,09,807 km",Diesel,Manual,"EMI ₹11,674/m*",₹3.54 lakh
907,Hyundai Elite i20,Hyundai,2015,"77,082 km",Diesel,Manual,"EMI ₹13,784/m*",₹4.15 lakh
908,Skoda Rapid,Skoda,2013,"63,497 km",Petrol,Manual,"EMI ₹14,122/m*",₹3.00 lakh
909,Tata NEXON,Tata,2020,"56,892 km",Petrol,Manual,"EMI ₹9,285/m*",₹5.26 lakh
910,Hyundai Grand i10,Hyundai,2018,"31,260 km",Petrol,Auto,"EMI ₹7,679/m*",₹4.35 lakh
911,Honda WR-V,Honda,2021,"52,384 km",Petrol,Manual,"EMI ₹12,286/m*",₹6.96 lakh
912,Maruti Ciaz,Maruti,2018,"1,18,745 km",Petrol,Auto,"EMI ₹13,480/m*",₹6.06 lakh
913,Maruti OMNI E,Maruti,2012,"56,795 km",Petrol,Manual,"EMI ₹20,613/m*",₹2.32 lakh
914,CITROEN C3,CITROEN,2023,"14,481 km",Petrol,Manual,"EMI ₹10,945/m*",₹6.20 lakh
915,Renault Lodgy,Renault,2015,"1,13,483 km",Diesel,Manual,"EMI ₹13,053/m*",₹3.93 lakh
916,Maruti A Star,Maruti,2011,"1,10,239 km",Petrol,Manual,"EMI ₹13,053/m*",₹1.15 lakh
917,Volkswagen Vento,Volkswagen,2011,"81,609 km",Diesel,Manual,"EMI ₹13,053/m*",₹2.33 lakh
918,CITROEN C3,CITROEN,2023,"14,322 km",Petrol,Manual,"EMI ₹10,062/m*",₹5.70 lakh
919,Honda Brio,Honda,2013,"97,030 km",Petrol,Auto,"EMI ₹14,122/m*",₹3.00 lakh
920,Maruti Swift,Maruti,2019,"41,643 km",Petrol,Auto,"EMI ₹11,474/m*",₹6.50 lakh
921,Renault Duster,Renault,2013,"1,72,312 km",Diesel,Manual,"EMI ₹13,061/m*",₹1.47 lakh
922,Mahindra Kuv100,Mahindra,2016,"28,502 km",Petrol,Manual,"EMI ₹5,049/m*",₹2.27 lakh
923,Tata Manza,Tata,2012,"69,585 km",Diesel,Manual,"EMI ₹5,049/m*",₹2.13 lakh
