,Car Name,Brand,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
135,Maruti Swift,Maruti,2013,"90,562 km",Diesel,Manual,"EMI ₹24,967/m*",₹2.81 lakh
136,Ford Figo Aspire,Ford,2017,"85,826 km",Petrol,Manual,"EMI ₹5,122/m*",₹2.62 lakh
137,Maruti Celerio,Maruti,2014,"89,107 km",Petrol,Manual,"EMI ₹6,709/m*",₹2.02 lakh
138,Hyundai Eon,Hyundai,2014,"40,989 km",Petrol,Manual,"EMI ₹5,580/m*",₹1.68 lakh
139,Skoda Rapid,Skoda,2013,"1,12,880 km",Diesel,Manual,"EMI ₹14,394/m*",₹1.62 lakh
140,Maruti Swift Dzire,Maruti,2013,"2,17,188 km",Diesel,Manual,"EMI ₹27,010/m*",₹3.04 lakh
141,Renault Kwid,Renault,2017,"71,718 km",Petrol,Manual,"EMI ₹2,717/m*",₹1.39 lakh
142,Maruti Alto 800,Maruti,2018,"50,031 km",Petrol,Manual,"EMI ₹3,495/m*",₹1.98 lakh
143,Hyundai i20,Hyundai,2012,"1,87,648 km",Diesel,Manual,"EMI ₹3,495/m*",₹1.56 lakh
144,Hyundai Eon,Hyundai,2012,"1,00,930 km",Petrol,Manual,"EMI ₹6,575/m*",₹0.74 lakh
145,Maruti Swift,Maruti,2014,"1,09,066 km",Diesel,Manual,"EMI ₹11,384/m*",₹2.42 lakh
146,Maruti Ciaz,Maruti,2018,"80,767 km",Diesel,Manual,"EMI ₹6,843/m*",₹3.50 lakh
147,Volkswagen Vento,Volkswagen,2018,"1,11,005 km",Petrol,Auto,"EMI ₹7,786/m*",₹3.50 lakh
148,Tata TIGOR,Tata,2019,"47,615 km",Petrol,Manual,"EMI ₹5,896/m*",₹3.34 lakh
149,Maruti Wagon R 1.0,Maruti,2015,"94,452 km",Petrol,Manual,"EMI ₹3,950/m*",₹1.50 lakh
150,Hyundai i10,Hyundai,2012,"1,06,393 km",Petrol,Auto,"EMI ₹16,082/m*",₹1.81 lakh
151,Honda City,Honda,2014,"1,01,983 km",Petrol,Manual,"EMI ₹7,374/m*",₹2.22 lakh
152,Renault Kwid,Renault,2015,"1,20,871 km",Petrol,Manual,"EMI ₹3,871/m*",₹1.47 lakh
153,Honda Amaze,Honda,2013,"96,955 km",Petrol,Manual,"EMI ₹10,592/m*",₹2.25 lakh
154,Maruti Eeco,Maruti,2020,"67,533 km",Petrol,Manual,"EMI ₹6,108/m*",₹3.46 lakh
155,Hyundai Elite i20,Hyundai,2014,"85,115 km",Petrol,Manual,"EMI ₹10,629/m*",₹3.20 lakh
156,Volkswagen Vento,Volkswagen,2013,"1,72,856 km",Diesel,Manual,"EMI ₹16,437/m*",₹1.85 lakh
157,Volkswagen Vento,Volkswagen,2013,"1,80,516 km",Diesel,Manual,"EMI ₹15,460/m*",₹1.74 lakh
158,Maruti Dzire,Maruti,2022,"44,267 km",Petrol,Manual,"EMI ₹10,133/m*",₹5.74 lakh
159,Maruti Swift Dzire,Maruti,2014,"1,22,854 km",Petrol,Manual,"EMI ₹8,304/m*",₹2.50 lakh
160,Hyundai Eon,Hyundai,2016,"77,237 km",Petrol,Manual,"EMI ₹2,825/m*",₹1.27 lakh
161,Renault Kwid,Renault,2018,"26,775 km",Petrol,Manual,"EMI ₹3,425/m*",₹1.94 lakh
162,Maruti Eeco,Maruti,2015,"97,876 km",Petrol,Manual,"EMI ₹5,425/m*",₹2.06 lakh
163,Mahindra Kuv100,Mahindra,2017,"87,283 km",Diesel,Manual,"EMI ₹4,093/m*",₹1.84 lakh
164,Maruti Celerio,Maruti,2014,"1,12,897 km",Petrol,Manual,"EMI ₹6,909/m*",₹2.08 lakh
165,Hyundai i20,Hyundai,2014,62 km,Diesel,Manual,"EMI ₹9,179/m*",₹1.95 lakh
166,Maruti Wagon R 1.0,Maruti,2013,"1,69,590 km",Petrol,Manual,"EMI ₹8,897/m*",₹1.89 lakh
167,Datsun Redi Go,Datsun,2017,"68,610 km",Petrol,Manual,"EMI ₹2,776/m*",₹1.42 lakh
168,Maruti Ertiga,Maruti,2015,"80,650 km",Diesel,Manual,"EMI ₹12,190/m*",₹3.67 lakh
169,Hyundai Eon,Hyundai,2015,"1,23,398 km",Petrol,Manual,"EMI ₹4,213/m*",₹1.60 lakh
170,Chevrolet Beat,Chevrolet,2013,"2,50,363 km",Diesel,Manual,"EMI ₹6,841/m*",₹0.77 lakh
