,car_name,brand,year_of_manufacture,distance_driven,fuel_type,transmission_type,emi,price,city
9247,Hyundai EXTER,Hyundai,2023,36600,Petrol,Manual,10415,590000.0,Patna
9248,Maruti Celerio,Maruti,2016,52386,Petrol,Auto,5697,256000.0,Patna
9249,Datsun Redi Go,Datsun,2020,24295,Petrol,Manual,3742,212000.0,Patna
9250,Hyundai Eon,Hyundai,2013,40001,Petrol,Manual,6967,148000.0,Patna
9251,Tata Tiago,Tata,2023,45481,Petrol,Manual,7149,405000.0,Patna
9252,Toyota Etios,Toyota,2020,65593,CNG,Manual,6411,363000.0,Patna
9253,Tata Tiago,Tata,2023,14332,Petrol,Auto,8209,465000.00000000006,Patna
9254,KIA SONET,KIA,2020,38690,Petrol,Manual,10809,612000.0,Patna
9255,Hyundai NEW I20,Hyundai,2023,39296,Petrol,Manual,9356,530000.0,Patna
9256,Datsun Go Plus,Datsun,2021,31233,Petrol,Manual,6451,365000.0,Patna
9257,Renault TRIBER,Renault,2019,62100,Petrol,Manual,7861,445000.0,Patna
9258,Maruti FRONX,Maruti,2024,7554,Petrol,Auto,12798,725000.0,Patna
9259,Honda Jazz,Honda,2017,28120,Petrol,Auto,6629,339000.0,Patna
9260,Maruti New Wagon-R,Maruti,2022,27107,Petrol,Manual,8294,470000.0,Patna
9261,Hyundai VENUE,Hyundai,2021,65283,Petrol,Manual,11828,670000.0,Patna
9262,Hyundai New Elantra,Hyundai,2018,54355,Diesel,Auto,15178,776000.0,Patna
9263,Maruti BREZZA,Maruti,2022,28115,Petrol,Manual,14959,874000.0,Patna
9264,Hyundai GRAND I10 NIOS,Hyundai,2022,19850,Petrol,Manual,7614,431000.0,Patna
9265,Hyundai i10,Hyundai,2016,36455,Petrol,Manual,4664,210000.0,Patna
9266,Maruti S PRESSO,Maruti,2021,64045,Petrol,Manual,5561,315000.0,Patna
9267,Hyundai EXTER,Hyundai,2023,21275,Petrol,Auto,11400,646000.0,Patna
9268,Maruti Alto K10,Maruti,2013,107475,Petrol,Manual,5649,120000.0,Patna
9269,Tata NEXON,Tata,2019,21376,Petrol,Manual,7843,444000.00000000006,Patna
9270,Maruti Swift,Maruti,2016,22772,Petrol,Manual,7432,334000.0,Patna
9271,Toyota Innova Crysta,Toyota,2022,86718,Diesel,Auto,28338,1655000.0,Patna
9272,Tata TIAGO NRG,Tata,2022,27604,Petrol,Auto,7970,451000.0,Patna
9273,Maruti S Cross,Maruti,2022,47877,Petrol,Manual,10768,610000.0,Patna
